country,year,maternal_education_standardized,u5mr_standardized,prop_urban_standardized,vitA_standardized,incidence_standardized,mcv1_standardized
KNA,1981,0.406348784,-0.421641615,-0.498473221,-0.707692521,0.879799919,-2.358068791
KWT,1981,-0.510888298,-0.644249665,2.18632429,-0.474667803,0.14557403,-2.358068791
LAO,1981,-1.377377989,1.892270643,-1.533748635,1.25334482,0.381586481,-2.358068791
LBN,1981,-0.309239396,-0.40801255,1.255589109,-0.482781033,0.466764773,-2.358068791
LBR,1981,-1.450263864,2.508607219,-0.480146193,1.332461192,1.657602693,-2.358068791
LBY,1981,-1.360714347,-0.123316539,1.101086442,-0.629774415,0.437378569,-2.358068791
LCA,1981,-0.074366518,-0.676050816,-0.899158503,-0.635546234,0.964148498,-2.358068791
LKA,1981,-0.221181382,-0.492815617,-1.263727442,0.658230729,0.899153252,-2.358068791
LSO,1981,-0.530263312,0.639911064,-1.584831303,1.937820266,1.147492567,-2.358068791
MAR,1981,-1.469211775,0.788316431,-0.222178718,1.147031358,0.726164014,-2.358068791
MDG,1981,-1.104844368,1.498542117,-1.249746922,1.072659272,0.190059665,-2.358068791
MDV,1981,-1.29270702,1.000324099,-1.074228666,0.345156756,0.061864751,-2.358068791
MEX,1981,-0.412419783,-0.106658794,0.895814772,0.088134377,0.280062012,-2.358068791
MHL,1981,-0.260389377,-0.18843318,0.535368294,1.987825707,1.173862253,-2.358068791
MLI,1981,-1.68177823,3.29606427,-1.25055349,1.929468709,0.187794155,-2.358068791
MMR,1981,-1.08385568,0.950350863,-1.025968987,0.882030306,1.489903624,-2.358068791
MNG,1981,-0.033030825,1.236561214,0.25979074,1.027706791,0.18716832,-2.358068791
MOZ,1981,-1.566689505,2.915964809,-1.470970724,2.116996582,0.390951286,-2.358068791
MRT,1981,-1.211428918,1.289563131,-0.809629405,1.722432361,0.147784318,-2.358068791
MUS,1981,-0.365606992,-0.577618684,-0.212589515,-0.676497748,0.121910421,-2.358068791
MWI,1981,-1.279782827,2.652469565,-1.685517931,2.022974598,0.113416354,-2.358068791
MYS,1981,-0.448008674,-0.715423668,-0.182432817,-1.038248394,0.580974852,-2.358068791
NER,1981,-1.723013082,3.721593946,-1.48867042,2.077808037,1.671647863,-2.358068791
NGA,1981,-1.213819365,2.034618648,-1.084714055,1.025439718,1.352581531,-2.358068791
NIC,1981,-0.747153761,0.400645268,0.165422232,-0.692951433,-0.029519125,-2.358068791
NIU,1981,0.254826478,0.109392747,-0.436443626,-0.302418891,1.649173218,-2.358068791
NPL,1981,-1.594284629,1.905899707,-1.814882549,0.777385178,0.962302165,-2.358068791
NRU,1981,0.00104247,0.391154198,2.380348812,-0.049525445,0.757330248,-2.358068791
OMN,1981,-1.28377622,0.37793016,0.116176747,-0.015541063,-0.013027413,-2.358068791
PAK,1981,-1.467104194,1.322878621,-0.828897429,0.264612791,1.612682525,-2.358068791
PAN,1981,0.265147462,-0.50190166,0.175101053,-0.855618041,0.374007491,-2.358068791
PER,1981,-0.073225572,0.72168545,0.820176575,0.239743283,1.264139093,-2.358068791
PHL,1981,0.146612756,0.047803935,-0.380176515,0.420906757,0.836501982,-2.358068791
PNG,1981,-1.404968985,0.415788672,-1.507221495,-0.675512298,0.05943523,-2.358068791
POL,1981,0.799095449,-0.791140692,0.518923259,0.265133168,0.68654257,-2.358068791
PRK,1981,-0.515441801,-0.656077072,0.455742064,-0.776289392,1.000240703,-2.358068791
PRY,1981,-0.223830857,-0.189947521,-0.20806377,0.114564204,0.869235261,-2.358068791
QAT,1981,-0.876906614,-0.620020218,1.910477881,-0.787473739,1.616552379,-2.358068791
ROU,1981,0.578541587,-0.621534558,-0.004360427,0.838614651,0.651243266,-2.358068791
RWA,1981,-1.365905461,1.91498575,-1.886129428,0.589843905,0.845203303,-2.358068791
SAU,1981,-1.353073059,0.170465514,0.914231418,0.381514189,0.486294324,-2.358068791
SDN,1981,-1.388301887,1.062412058,-1.196961498,0.396886175,0.759009004,-2.358068791
SEN,1981,-1.562400079,1.855926471,-0.481983377,2.437493878,0.708502722,-2.358068791
SLB,1981,-1.221269915,-0.385297443,-1.610955159,0.108225434,0.34659582,-2.358068791
SLE,1981,-1.567648011,3.152201924,-0.745193548,1.760235331,0.700391975,-2.358068791
SLV,1981,-0.709722182,0.37641582,-0.101551925,0.605932211,1.531148834,-2.358068791
SOM,1981,-1.591919634,1.895011455,-0.889793347,1.380353248,1.669090549,-2.358068791
STP,1981,-1.226331755,0.247696879,-0.583476574,2.808857564,1.645723948,-2.358068791
SUR,1981,-0.389039258,-0.217797277,0.813589599,-0.30590576,0.658467856,-2.358068791
SWZ,1981,-0.662425486,0.497563058,-1.346714373,0.997814688,0.422728686,-2.358068791
SYC,1981,-0.089501393,-0.726024052,0.110844433,0.137432527,0.384883297,-2.358068791
SYR,1981,-1.091252603,-0.189947521,0.007155578,0.054150169,0.431743953,-2.358068791
TCD,1981,-1.709949641,2.458633983,-1.250015778,1.755186847,0.402594493,-2.358068791
TGO,1981,-1.474582262,1.50611382,-0.979456873,2.233761695,0.313738411,-2.358068791
THA,1981,-0.41799799,-0.265664545,-0.888538685,0.630941916,0.709245716,-2.358068791
TON,1981,-0.105835943,-0.713909328,-1.142876602,0.747272642,0.874095785,-2.358068791
TTO,1981,0.521241381,-0.567018301,0.250470394,-0.731757296,1.122221795,-2.358068791
TUN,1981,-1.172523674,0.212867048,0.19203899,-1.067304924,1.05866909,-2.358068791
TUR,1981,-0.788037635,0.700484683,-0.075696925,0.3251515,0.970865439,-2.358068791
TUV,1981,-0.575082533,-0.22023433,-0.726059952,0.493713695,1.635104296,-2.358068791
TZA,1981,-1.19499818,1.542457991,-1.429522067,1.731460504,0.578261353,-2.358068791
UGA,1981,-1.194812152,2.160308908,-1.749550504,0.853357532,1.66382976,-2.358068791
VCT,1981,-0.283784232,-0.418612934,-0.469123091,-0.093245981,0.914416896,-2.358068791
VEN,1981,-0.159351892,-0.504930341,1.476095961,-0.280000648,0.105611896,-2.358068791
VNM,1981,-0.376978959,-0.118773518,-1.235363118,-0.000519783,0.765360908,-2.358068791
VUT,1981,-0.850180913,-0.185404499,-1.42306952,0.650777299,0.366422594,-2.358068791
WSM,1981,-0.001051888,-0.510987703,-1.150942287,0.337327219,0.791857216,-2.358068791
YEM,1981,-1.694659568,1.834725705,-1.343801765,1.579314067,0.712035005,-2.358068791
ZAF,1981,-0.065290541,0.221953091,0.076744511,0.274486892,0.422075412,-2.358068791
ZMB,1981,-0.971394416,1.235046873,-0.314754852,1.831097301,1.13396311,-2.358068791
