country,year,maternal_education_standardized,mcv1_standardized,u5mr_standardized,prop_urban_standardized,vitA_standardized,incidence_standardized
AFG,1970,-1.72564870453673,-1.97604316450308,2.54495139094198,-1.38386133130079,0.37818749957848,1.03700514660754
AFG,1971,-1.72564870453673,-1.97604316450308,2.54495139094198,-1.38386133130079,0.37818749957848,1.03700514660754
AFG,1972,-1.72564870453673,-1.97604316450308,2.54495139094198,-1.38386133130079,0.37818749957848,1.03700514660754
AFG,1973,-1.72564870453673,-1.97604316450308,2.54495139094198,-1.38386133130079,0.37818749957848,1.03700514660754
AFG,1974,-1.72564870453673,-1.97604316450308,2.54495139094198,-1.38386133130079,0.37818749957848,1.03700514660754
AFG,1975,-1.72564870453673,-1.97604316450308,2.54495139094198,-1.38386133130079,0.37818749957848,1.03700514660754
AFG,1976,-1.72564870453673,-1.97604316450308,2.54495139094198,-1.38386133130079,0.37818749957848,1.03700514660754
AFG,1977,-1.72564870453673,-1.97604316450308,2.54495139094198,-1.38386133130079,0.37818749957848,1.03700514660754
AFG,1978,-1.72564870453673,-1.97604316450308,2.54495139094198,-1.38386133130079,0.37818749957848,1.03700514660754
AFG,1979,-1.72564870453673,-1.97604316450308,2.54495139094198,-1.38386133130079,0.37818749957848,1.03700514660754
AFG,1980,-1.72564870453673,-1.97604316450308,2.54495139094198,-1.38386133130079,0.37818749957848,1.03700514660754
AFG,1981,-1.72072263154994,-2.02813756814517,2.44803360005298,-1.35845442515088,0.372036636741457,1.03700514660754
AFG,1982,-1.71400359973961,-2.08023197178725,2.34960146868135,-1.33224095055177,0.355803100463229,1.23689310539158
AFG,1983,-1.70635556354643,-2.0455023693592,2.25116933730971,-1.30535533557832,0.333343792351586,1.18488280235965
AFG,1984,-1.69852480653605,-1.87185435721891,2.1497085249728,-1.27766315215566,0.310749298127067,1.18415920662978
AFG,1985,-1.69034015450028,-1.87185435721891,2.04976205311852,-1.24934363771696,0.292071339342366,1.16603084707069
AFG,1986,-1.68174326441106,-1.87185435721891,1.95132992174689,-1.22021755482906,0.272560575661068,1.1718835858064
AFG,1987,-1.67217415012093,-1.28145111594193,1.84986910940997,-1.19032971285024,0.258577844532239,1.14998981288793
AFG,1988,-1.66216951452681,-1.17726230865776,1.75143697803834,-1.15968011178051,0.245817117530193,1.0649346385066
AFG,1989,-1.6520830206953,-1.59401753779445,1.6530048466667,-1.15564726953449,0.236317712168267,1.07780704227088
AFG,1990,-1.64061845745566,-1.66347674265056,1.55760139626035,-1.15165923664677,0.22937443024549,1.13467295787389
AFG,1991,-1.62727660615839,-1.69820634507862,1.46371228633663,-1.14767120375904,0.230195101120789,1.11684934625727
AFG,1992,-1.61345463920285,-1.59401753779445,1.37436619786084,-1.14368317087131,0.231015771996088,1.09523498581441
AFG,1993,-1.60162995927732,-1.48982873051028,1.28956313083297,-1.13969513798358,0.231836442871387,1.05376320382869
AFG,1994,-1.59138930588719,-0.968884694089417,1.21081742573567,-1.13566229573756,0.232657113746685,0.999497631576701
AFG,1995,-1.58135464951293,-0.93415509166136,1.13661474208628,-1.13162945349155,0.233477784621984,0.904022864686121
AFG,1996,-1.57139224671566,-0.899425489233303,1.06695507988481,-1.12759661124553,0.233722073909271,0.914408696546993
AFG,1997,-1.56079809280545,-1.03834389894553,0.99880975816599,-1.12351895964122,0.233966363196558,0.750964941123563
AFG,1998,-1.54931992679333,-1.28145111594193,0.935207457895088,-1.11948611739521,0.234210652483845,1.05795506801447
AFG,1999,-1.53650197507492,-1.28145111594193,0.873119498106826,-1.1154084657909,0.234454941771132,1.02629079575859
AFG,2000,-1.52307007802842,-1.42036952565416,0.812545878801204,-1.1112860048283,0.234699231058408,1.02548393117895
AFG,2001,-1.50637441480284,-1.07307350137359,0.751972259495583,-1.107208353224,0.228068864738329,1.0575141585103
AFG,2002,-1.4876165172976,-1.1425327062297,0.689884299707321,-1.1030858922614,0.22143849841824,0.943876292462524
AFG,2003,-1.46779893240575,-1.00361429651747,0.626281999436419,-1.09896343129881,0.214808132098162,-0.162934330742096
AFG,2004,-1.44618868058219,-0.691047874664959,0.561165358682875,-1.09237645563031,0.208177765778073,-0.465470401146477
AFG,2005,-1.42271130575516,-0.621588669808844,0.497563058411973,-1.08328015589763,0.201547399457995,0.952335037383606
AFG,2006,-1.39791831733934,-0.517399862524672,0.43244641765843,-1.07413904680665,0.187374809498704,0.690122672684709
AFG,2007,-1.37069594423906,-0.447940657668557,0.368844117387527,-1.0649083189991,0.173202219539414,-0.0434361990132742
AFG,2008,-1.3419672588002,-0.309022247956328,0.305241817116625,-1.05563278183326,0.159029629580123,0.755059542964674
AFG,2009,-1.31214557524424,-0.274292645528271,0.244668197811004,-1.04631243530913,0.144857039620833,0.417602603726742
AFG,2010,-1.2806172930171,-0.204833440672156,0.185608918988023,-1.03694727942672,0.130684449661542,0.695123456750448
AFG,2011,-1.24835943451589,-0.135374235816041,0.128063980647682,-1.02749250482772,0.1041551104545,0.43329672080901
AFG,2012,-1.21545117252719,-0.309022247956328,0.0720333827899824,-1.01799292087043,0.0786531608140974,0.356064867328471
AFG,2013,-1.18123082012032,-0.378481452812443,0.0205458063802043,-1.00844852755486,0.0543469409218309,-0.649766410445063
AFG,2014,-1.14607405953693,-0.274292645528271,-0.0294274295469336,-0.998859324880997,0.0314047909591772,0.43003697676637
AFG,2015,-1.10931456416609,-0.204833440672156,-0.0778863249914306,-0.989180503490555,0.00999505110766502,0.0679589579252032
