country,year,mcv1
AFG,2020,0.58
AGO,2020,0.46
ALB,2020,0.86
ARG,2020,0.77
ARM,2020,0.86
AZE,2020,0.88
BDI,2020,0.83
BEN,2020,0.61
BFA,2020,0.79
BGD,2020,0.87
BGR,2020,0.86
BIH,2020,0.61
BLR,2020,0.88
BLZ,2020,0.86
BOL,2020,0.71
BRA,2020,0.82
BTN,2020,0.87
BWA,2020,0.87
CAF,2020,0.37
CHN,2020,0.89
CIV,2020,0.66
CMR,2020,0.54
COD,2020,0.59
COG,2020,0.66
COL,2020,0.86
COM,2020,0.81
CPV,2020,0.88
CRI,2020,0.86
CUB,2020,0.89
DJI,2020,0.75
DMA,2020,0.83
DOM,2020,0.86
DZA,2020,0.72
ECU,2020,0.75
EGY,2020,0.86
ERI,2020,0.84
ETH,2020,0.52
FJI,2020,0.86
FSM,2020,0.7
GAB,2020,0.56
GEO,2020,0.89
GHA,2020,0.83
GIN,2020,0.42
GMB,2020,0.77
GNB,2020,0.71
GNQ,2020,0.48
GRD,2020,0.85
GTM,2020,0.81
GUY,2020,0.88
HND,2020,0.8
HTI,2020,0.59
IDN,2020,0.79
IND,2020,0.86
IRN,2020,0.89
IRQ,2020,0.74
JAM,2020,0.85
JOR,2020,0.78
KAZ,2020,0.89
KEN,2020,0.8
KGZ,2020,0.86
KHM,2020,0.76
KIR,2020,0.85
LAO,2020,0.75
LBN,2020,0.74
LBR,2020,0.61
LBY,2020,0.66
LCA,2020,0.86
LKA,2020,0.89
LSO,2020,0.81
MAR,2020,0.89
MDA,2020,0.87
MDG,2020,0.5
MDV,2020,0.89
MEX,2020,0.66
MHL,2020,0.77
MKD,2020,0.68
MLI,2020,0.63
MMR,2020,0.76
MNE,2020,0.3
MNG,2020,0.88
MOZ,2020,0.78
MRT,2020,0.68
MWI,2020,0.83
MYS,2020,0.87
NAM,2020,0.72
NER,2020,0.71
NGA,2020,0.51
NIC,2020,0.89
NPL,2020,0.83
PAK,2020,0.73
PER,2020,0.77
PHL,2020,0.68
PNG,2020,0.33
PRK,2020,0.88
PRY,2020,0.78
PSE,2020,0.89
RUS,2020,0.88
RWA,2020,0.86
SDN,2020,0.81
SEN,2020,0.8
SLB,2020,0.73
SLE,2020,0.84
SLV,2020,0.74
SOM,2020,0.41
SRB,2020,0.78
SSD,2020,0.44
STP,2020,0.86
SUR,2020,0.58
SWZ,2020,0.73
SYR,2020,0.59
TCD,2020,0.37
TGO,2020,0.68
THA,2020,0.86
TJK,2020,0.88
TKM,2020,0.89
TLS,2020,0.77
TON,2020,0.89
TUN,2020,0.88
TUR,2020,0.87
TUV,2020,0.86
TZA,2020,0.79
UGA,2020,0.78
UKR,2020,0.84
UZB,2020,0.88
VCT,2020,0.89
VEN,2020,0.84
VNM,2020,0.86
VUT,2020,0.72
WSM,2020,0.86
YEM,2020,0.6
ZAF,2020,0.75
ZMB,2020,0.84
ZWE,2020,0.77
AFG,2021,0.58
AGO,2021,0.46
ALB,2021,0.86
ARG,2021,0.77
ARM,2021,0.86
AZE,2021,0.88
BDI,2021,0.83
BEN,2021,0.61
BFA,2021,0.79
BGD,2021,0.87
