country,year,u5mr
AFG,2020,62.26
AGO,2020,76.87
ALB,2020,10.05
ARG,2020,9.43
ARM,2020,11.91
AZE,2020,21.13
BDI,2020,58.64
BEN,2020,91.58
BFA,2020,90.96
BGD,2020,31.81
BGR,2020,6.84
BIH,2020,6.11
BLR,2020,3.21
BLZ,2020,12.74
BOL,2020,27.25
BRA,2020,15.44
BTN,2020,29.63
BWA,2020,47.55
CAF,2020,110.44
CHN,2020,8.18
CIV,2020,83.19
CMR,2020,77.39
COD,2020,86.82
COG,2020,54.39
COL,2020,14.09
COM,2020,65.79
CPV,2020,15.44
CRI,2020,8.5
CUB,2020,5.39
DJI,2020,59.88
DMA,2020,36.26
DOM,2020,35.64
DZA,2020,24.14
ECU,2020,13.88
EGY,2020,20.82
ERI,2020,42.06
ETH,2020,52.63
FJI,2020,27.87
FSM,2020,26.31
GAB,2020,44.55
GEO,2020,9.84
GHA,2020,48.07
GIN,2020,101.53
GMB,2020,53.04
GNB,2020,82.47
GNQ,2020,84.12
GRD,2020,17.09
GTM,2020,25.38
GUY,2020,30.35
HND,2020,17.4
HTI,2020,64.44
IDN,2020,24.66
IND,2020,35.64
IRN,2020,13.88
IRQ,2020,27.04
JAM,2020,14.19
JOR,2020,16.06
KAZ,2020,10.46
KEN,2020,44.55
KGZ,2020,18.96
KHM,2020,27.56
KIR,2020,53.04
LAO,2020,47.35
LBN,2020,7.46
LBR,2020,83.29
LBY,2020,11.91
LCA,2020,24.86
LKA,2020,7.46
LSO,2020,94.17
MAR,2020,20.2
MDA,2020,15.33
MDG,2020,53.77
MDV,2020,7.25
MEX,2020,14.61
MHL,2020,32.74
MKD,2020,7.04
MLI,2020,97.59
MMR,2020,46.83
MNE,2020,2.69
MNG,2020,16.58
MOZ,2020,75.52
MRT,2020,75.63
MWI,2020,42.06
MYS,2020,8.91
NAM,2020,43.41
NER,2020,83.19
NGA,2020,121.11
NIC,2020,17.2
NPL,2020,30.35
PAK,2020,69.72
PER,2020,13.78
PHL,2020,28.08
PNG,2020,46.93
PRK,2020,17.92
PRY,2020,20.2
PSE,2020,17.61
RUS,2020,6.01
RWA,2020,43.41
SDN,2020,60.5
SEN,2020,41.13
SLB,2020,20.72
SLE,2020,115.93
SLV,2020,13.78
SOM,2020,122.56
SRB,2020,5.91
SSD,2020,101.42
STP,2020,17.61
SUR,2020,18.75
SWZ,2020,49.73
SYR,2020,23
TCD,2020,117.59
TGO,2020,68.89
THA,2020,9.32
TJK,2020,34.5
TKM,2020,43.93
TLS,2020,45.27
TON,2020,12.12
TUN,2020,17.51
TUR,2020,10.46
TUV,2020,23.52
TZA,2020,52.32
UGA,2020,46.93
UKR,2020,8.7
UZB,2020,15.33
VCT,2020,15.13
VEN,2020,25.07
VNM,2020,21.86
VUT,2020,26.52
WSM,2020,18.03
YEM,2020,63.71
ZAF,2020,34.19
ZMB,2020,66.41
ZWE,2020,56.15
AFG,2021,62.26
AGO,2021,76.87
ALB,2021,10.05
ARG,2021,9.43
ARM,2021,11.91
AZE,2021,21.13
BDI,2021,58.64
BEN,2021,91.58
BFA,2021,90.96
BGD,2021,31.81
BGR,2021,6.84
BIH,2021,6.11
BLR,2021,3.21
BLZ,2021,12.74
BOL,2021,27.25
BRA,2021,15.44
BTN,2021,29.63
BWA,2021,47.55
CAF,2021,110.44
CHN,2021,8.18
CIV,2021,83.19
CMR,2021,77.39
COD,2021,86.82
COG,2021,54.39
COL,2021,14.09
COM,2021,65.79
CPV,2021,15.44
CRI,2021,8.5
CUB,2021,5.39
DJI,2021,59.88
DMA,2021,36.26
DOM,2021,35.64
DZA,2021,24.14
ECU,2021,13.88
EGY,2021,20.82
ERI,2021,42.06
ETH,2021,52.63
FJI,2021,27.87
FSM,2021,26.31
GAB,2021,44.55
GEO,2021,9.84
GHA,2021,48.07
GIN,2021,101.53
GMB,2021,53.04
GNB,2021,82.47
GNQ,2021,84.12
GRD,2021,17.09
GTM,2021,25.38
GUY,2021,30.35
HND,2021,17.4
HTI,2021,64.44
IDN,2021,24.66
IND,2021,35.64
IRN,2021,13.88
IRQ,2021,27.04
JAM,2021,14.19
JOR,2021,16.06
KAZ,2021,10.46
KEN,2021,44.55
KGZ,2021,18.96
KHM,2021,27.56
KIR,2021,53.04
LAO,2021,47.35
LBN,2021,7.46
LBR,2021,83.29
LBY,2021,11.91
LCA,2021,24.86
LKA,2021,7.46
LSO,2021,94.17
MAR,2021,20.2
MDA,2021,15.33
MDG,2021,53.77
MDV,2021,7.25
MEX,2021,14.61
MHL,2021,32.74
MKD,2021,7.04
MLI,2021,97.59
MMR,2021,46.83
MNE,2021,2.69
MNG,2021,16.58
MOZ,2021,75.52
MRT,2021,75.63
MWI,2021,42.06
MYS,2021,8.91
NAM,2021,43.41
NER,2021,83.19
NGA,2021,121.11
NIC,2021,17.2
NPL,2021,30.35
PAK,2021,69.72
PER,2021,13.78
PHL,2021,28.08
PNG,2021,46.93
PRK,2021,17.92
PRY,2021,20.2
PSE,2021,17.61
RUS,2021,6.01
RWA,2021,43.41
SDN,2021,60.5
SEN,2021,41.13
SLB,2021,20.72
SLE,2021,115.93
SLV,2021,13.78
SOM,2021,122.56
SRB,2021,5.91
SSD,2021,101.42
STP,2021,17.61
SUR,2021,18.75
SWZ,2021,49.73
SYR,2021,23
TCD,2021,117.59
TGO,2021,68.89
THA,2021,9.32
TJK,2021,34.5
TKM,2021,43.93
TLS,2021,45.27
TON,2021,12.12
TUN,2021,17.51
TUR,2021,10.46
TUV,2021,23.52
TZA,2021,52.32
UGA,2021,46.93
UKR,2021,8.7
UZB,2021,15.33
VCT,2021,15.13
VEN,2021,25.07
VNM,2021,21.86
VUT,2021,26.52
WSM,2021,18.03
YEM,2021,63.71
ZAF,2021,34.19
ZMB,2021,66.41
ZWE,2021,56.15
AFG,2022,61.54
AGO,2022,75.98
ALB,2022,9.93
ARG,2022,9.32
ARM,2022,11.78
AZE,2022,20.89
BDI,2022,57.96
BEN,2022,90.52
BFA,2022,89.91
BGD,2022,31.44
BGR,2022,6.76
BIH,2022,6.04
BLR,2022,3.17
BLZ,2022,12.6
BOL,2022,26.93
BRA,2022,15.26
BTN,2022,29.29
BWA,2022,47
CAF,2022,109.16
CHN,2022,8.09
CIV,2022,82.23
CMR,2022,76.49
COD,2022,85.81
COG,2022,53.76
COL,2022,13.93
COM,2022,65.02
CPV,2022,15.26
CRI,2022,8.4
CUB,2022,5.32
DJI,2022,59.19
DMA,2022,35.84
DOM,2022,35.23
DZA,2022,23.86
ECU,2022,13.72
EGY,2022,20.58
ERI,2022,41.57
ETH,2022,52.02
FJI,2022,27.55
FSM,2022,26.01
GAB,2022,44.03
GEO,2022,9.73
GHA,2022,47.51
GIN,2022,100.35
GMB,2022,52.43
GNB,2022,81.51
GNQ,2022,83.15
GRD,2022,16.9
GTM,2022,25.09
GUY,2022,30
HND,2022,17.2
HTI,2022,63.69
IDN,2022,24.37
IND,2022,35.23
IRN,2022,13.72
IRQ,2022,26.73
JAM,2022,14.03
JOR,2022,15.87
KAZ,2022,10.34
KEN,2022,44.03
KGZ,2022,18.74
KHM,2022,27.24
KIR,2022,52.43
LAO,2022,46.8
LBN,2022,7.37
LBR,2022,82.33
LBY,2022,11.78
LCA,2022,24.58
LKA,2022,7.37
LSO,2022,93.08
MAR,2022,19.97
MDA,2022,15.16
MDG,2022,53.15
MDV,2022,7.17
MEX,2022,14.44
MHL,2022,32.36
MKD,2022,6.96
MLI,2022,96.46
MMR,2022,46.28
MNE,2022,2.66
MNG,2022,16.38
MOZ,2022,74.65
MRT,2022,74.75
MWI,2022,41.57
MYS,2022,8.81
NAM,2022,42.91
NER,2022,82.23
NGA,2022,119.71
NIC,2022,17
NPL,2022,30
PAK,2022,68.92
PER,2022,13.62
PHL,2022,27.75
PNG,2022,46.39
PRK,2022,17.72
PRY,2022,19.97
PSE,2022,17.41
RUS,2022,5.94
RWA,2022,42.91
SDN,2022,59.8
SEN,2022,40.65
SLB,2022,20.48
SLE,2022,114.59
SLV,2022,13.62
SOM,2022,121.14
SRB,2022,5.84
SSD,2022,100.25
STP,2022,17.41
SUR,2022,18.53
SWZ,2022,49.15
SYR,2022,22.73
TCD,2022,116.22
TGO,2022,68.1
THA,2022,9.22
TJK,2022,34.1
TKM,2022,43.42
TLS,2022,44.75
TON,2022,11.98
TUN,2022,17.31
TUR,2022,10.34
TUV,2022,23.24
TZA,2022,51.71
UGA,2022,46.39
UKR,2022,8.6
UZB,2022,15.16
VCT,2022,14.95
VEN,2022,24.78
VNM,2022,21.61
VUT,2022,26.21
WSM,2022,17.82
YEM,2022,62.98
ZAF,2022,33.79
ZMB,2022,65.64
ZWE,2022,55.5
AFG,2023,60.82
AGO,2023,75.09
ALB,2023,9.82
ARG,2023,9.21
ARM,2023,11.64
AZE,2023,20.64
BDI,2023,57.28
BEN,2023,89.46
BFA,2023,88.85
BGD,2023,31.07
BGR,2023,6.68
BIH,2023,5.97
BLR,2023,3.14
BLZ,2023,12.45
BOL,2023,26.62
BRA,2023,15.08
BTN,2023,28.94
BWA,2023,46.45
CAF,2023,107.88
CHN,2023,7.99
CIV,2023,81.26
CMR,2023,75.6
COD,2023,84.81
COG,2023,53.13
COL,2023,13.76
COM,2023,64.26
CPV,2023,15.08
CRI,2023,8.3
CUB,2023,5.26
DJI,2023,58.49
DMA,2023,35.42
DOM,2023,34.81
DZA,2023,23.58
ECU,2023,13.56
EGY,2023,20.34
ERI,2023,41.09
ETH,2023,51.41
FJI,2023,27.22
FSM,2023,25.7
GAB,2023,43.52
GEO,2023,9.61
GHA,2023,46.96
GIN,2023,99.18
GMB,2023,51.81
GNB,2023,80.56
GNQ,2023,82.17
GRD,2023,16.7
GTM,2023,24.79
GUY,2023,29.65
HND,2023,17
HTI,2023,62.95
IDN,2023,24.09
IND,2023,34.81
IRN,2023,13.56
IRQ,2023,26.41
JAM,2023,13.86
JOR,2023,15.69
KAZ,2023,10.22
KEN,2023,43.52
KGZ,2023,18.52
KHM,2023,26.92
KIR,2023,51.81
LAO,2023,46.25
LBN,2023,7.29
LBR,2023,81.36
LBY,2023,11.64
LCA,2023,24.29
LKA,2023,7.29
LSO,2023,91.99
MAR,2023,19.73
MDA,2023,14.98
MDG,2023,52.52
MDV,2023,7.08
MEX,2023,14.27
MHL,2023,31.98
MKD,2023,6.88
MLI,2023,95.33
MMR,2023,45.74
MNE,2023,2.63
MNG,2023,16.19
MOZ,2023,73.77
MRT,2023,73.88
MWI,2023,41.09
MYS,2023,8.7
NAM,2023,42.4
NER,2023,81.26
NGA,2023,118.3
NIC,2023,16.8
NPL,2023,29.65
PAK,2023,68.11
PER,2023,13.46
PHL,2023,27.43
PNG,2023,45.84
PRK,2023,17.51
PRY,2023,19.73
PSE,2023,17.2
RUS,2023,5.87
RWA,2023,42.4
SDN,2023,59.1
SEN,2023,40.18
SLB,2023,20.24
SLE,2023,113.24
SLV,2023,13.46
SOM,2023,119.72
SRB,2023,5.77
SSD,2023,99.07
STP,2023,17.2
SUR,2023,18.32
SWZ,2023,48.58
SYR,2023,22.47
TCD,2023,114.86
TGO,2023,67.3
THA,2023,9.11
TJK,2023,33.7
TKM,2023,42.91
TLS,2023,44.22
TON,2023,11.84
TUN,2023,17.1
TUR,2023,10.22
TUV,2023,22.97
TZA,2023,51.11
UGA,2023,45.84
UKR,2023,8.5
UZB,2023,14.98
VCT,2023,14.78
VEN,2023,24.49
VNM,2023,21.35
VUT,2023,25.91
WSM,2023,17.61
YEM,2023,62.24
ZAF,2023,33.4
ZMB,2023,64.87
ZWE,2023,54.85
AFG,2024,60.1
AGO,2024,74.2
ALB,2024,9.7
ARG,2024,9.1
ARM,2024,11.5
AZE,2024,20.4
BDI,2024,56.6
BEN,2024,88.4
BFA,2024,87.8
BGD,2024,30.7
BGR,2024,6.6
BIH,2024,5.9
BLR,2024,3.1
BLZ,2024,12.3
BOL,2024,26.3
BRA,2024,14.9
BTN,2024,28.6
BWA,2024,45.9
CAF,2024,106.6
CHN,2024,7.9
CIV,2024,80.3
CMR,2024,74.7
COD,2024,83.8
COG,2024,52.5
COL,2024,13.6
COM,2024,63.5
CPV,2024,14.9
CRI,2024,8.2
CUB,2024,5.2
DJI,2024,57.8
DMA,2024,35
DOM,2024,34.4
DZA,2024,23.3
ECU,2024,13.4
EGY,2024,20.1
ERI,2024,40.6
