country,year,u5mr
AFG,2020,62.26
AGO,2020,76.87
ALB,2020,10.05
ARG,2020,9.43
ARM,2020,11.91
AZE,2020,21.13
BDI,2020,58.64
BEN,2020,91.58
BFA,2020,90.96
BGD,2020,31.81
BGR,2020,6.84
BIH,2020,6.11
BLR,2020,3.21
BLZ,2020,12.74
BOL,2020,27.25
BRA,2020,15.44
BTN,2020,29.63
BWA,2020,47.55
CAF,2020,110.44
CHN,2020,8.18
CIV,2020,83.19
CMR,2020,77.39
COD,2020,86.82
COG,2020,54.39
COL,2020,14.09
COM,2020,65.79
CPV,2020,15.44
CRI,2020,8.5
CUB,2020,5.39
DJI,2020,59.88
DMA,2020,36.26
DOM,2020,35.64
DZA,2020,24.14
ECU,2020,13.88
EGY,2020,20.82
ERI,2020,42.06
ETH,2020,52.63
FJI,2020,27.87
FSM,2020,26.31
GAB,2020,44.55
GEO,2020,9.84
GHA,2020,48.07
GIN,2020,101.53
GMB,2020,53.04
GNB,2020,82.47
GNQ,2020,84.12
GRD,2020,17.09
GTM,2020,25.38
GUY,2020,30.35
HND,2020,17.4
HTI,2020,64.44
IDN,2020,24.66
IND,2020,35.64
IRN,2020,13.88
IRQ,2020,27.04
JAM,2020,14.19
JOR,2020,16.06
KAZ,2020,10.46
KEN,2020,44.55
KGZ,2020,18.96
KHM,2020,27.56
KIR,2020,53.04
LAO,2020,47.35
LBN,2020,7.46
LBR,2020,83.29
LBY,2020,11.91
LCA,2020,24.86
LKA,2020,7.46
LSO,2020,94.17
MAR,2020,20.2
MDA,2020,15.33
MDG,2020,53.77
MDV,2020,7.25
MEX,2020,14.61
MHL,2020,32.74
MKD,2020,7.04
MLI,2020,97.59
MMR,2020,46.83
MNE,2020,2.69
MNG,2020,16.58
MOZ,2020,75.52
MRT,2020,75.63
MWI,2020,42.06
MYS,2020,8.91
NAM,2020,43.41
NER,2020,83.19
NGA,2020,121.11
NIC,2020,17.2
NPL,2020,30.35
PAK,2020,69.72
PER,2020,13.78
PHL,2020,28.08
PNG,2020,46.93
PRK,2020,17.92
PRY,2020,20.2
PSE,2020,17.61
RUS,2020,6.01
RWA,2020,43.41
SDN,2020,60.5
SEN,2020,41.13
SLB,2020,20.72
SLE,2020,115.93
SLV,2020,13.78
SOM,2020,122.56
SRB,2020,5.91
SSD,2020,101.42
STP,2020,17.61
SUR,2020,18.75
SWZ,2020,49.73
SYR,2020,23
TCD,2020,117.59
TGO,2020,68.89
THA,2020,9.32
TJK,2020,34.5
TKM,2020,43.93
TLS,2020,45.27
TON,2020,12.12
TUN,2020,17.51
TUR,2020,10.46
TUV,2020,23.52
TZA,2020,52.32
UGA,2020,46.93
UKR,2020,8.7
UZB,2020,15.33
VCT,2020,15.13
VEN,2020,25.07
VNM,2020,21.86
VUT,2020,26.52
WSM,2020,18.03
YEM,2020,63.71
ZAF,2020,34.19
ZMB,2020,66.41
ZWE,2020,56.15
AFG,2021,62.26
AGO,2021,76.87
ALB,2021,10.05
ARG,2021,9.43
ARM,2021,11.91
AZE,2021,21.13
BDI,2021,58.64
BEN,2021,91.58
BFA,2021,90.96
BGD,2021,31.81
BGR,2021,6.84
BIH,2021,6.11
BLR,2021,3.21
BLZ,2021,12.74
BOL,2021,27.25
BRA,2021,15.44
BTN,2021,29.63
BWA,2021,47.55
CAF,2021,110.44
CHN,2021,8.18
CIV,2021,83.19
CMR,2021,77.39
COD,2021,86.82
COG,2021,54.39
COL,2021,14.09
COM,2021,65.79
CPV,2021,15.44
CRI,2021,8.5
CUB,2021,5.39
DJI,2021,59.88
DMA,2021,36.26
DOM,2021,35.64
DZA,2021,24.14
ECU,2021,13.88
EGY,2021,20.82
ERI,2021,42.06
ETH,2021,52.63
FJI,2021,27.87
FSM,2021,26.31
GAB,2021,44.55
GEO,2021,9.84
GHA,2021,48.07
GIN,2021,101.53
GMB,2021,53.04
GNB,2021,82.47
GNQ,2021,84.12
GRD,2021,17.09
GTM,2021,25.38
GUY,2021,30.35
HND,2021,17.4
HTI,2021,64.44
IDN,2021,24.66
IND,2021,35.64
IRN,2021,13.88
IRQ,2021,27.04
JAM,2021,14.19
JOR,2021,16.06
KAZ,2021,10.46
KEN,2021,44.55
KGZ,2021,18.96
KHM,2021,27.56
KIR,2021,53.04
LAO,2021,47.35
LBN,2021,7.46
LBR,2021,83.29
LBY,2021,11.91
LCA,2021,24.86
LKA,2021,7.46
LSO,2021,94.17
MAR,2021,20.2
MDA,2021,15.33
MDG,2021,53.77
MDV,2021,7.25
MEX,2021,14.61
MHL,2021,32.74
MKD,2021,7.04
MLI,2021,97.59
MMR,2021,46.83
MNE,2021,2.69
MNG,2021,16.58
MOZ,2021,75.52
MRT,2021,75.63
MWI,2021,42.06
MYS,2021,8.91
NAM,2021,43.41
NER,2021,83.19
NGA,2021,121.11
NIC,2021,17.2
NPL,2021,30.35
PAK,2021,69.72
PER,2021,13.78
PHL,2021,28.08
PNG,2021,46.93
PRK,2021,17.92
PRY,2021,20.2
PSE,2021,17.61
RUS,2021,6.01
RWA,2021,43.41
SDN,2021,60.5
SEN,2021,41.13
SLB,2021,20.72
SLE,2021,115.93
SLV,2021,13.78
SOM,2021,122.56
SRB,2021,5.91
SSD,2021,101.42
STP,2021,17.61
SUR,2021,18.75
SWZ,2021,49.73
SYR,2021,23
TCD,2021,117.59
TGO,2021,68.89
THA,2021,9.32
TJK,2021,34.5
TKM,2021,43.93
TLS,2021,45.27
TON,2021,12.12
TUN,2021,17.51
TUR,2021,10.46
TUV,2021,23.52
TZA,2021,52.32
UGA,2021,46.93
UKR,2021,8.7
UZB,2021,15.33
VCT,2021,15.13
VEN,2021,25.07
VNM,2021,21.86
VUT,2021,26.52
WSM,2021,18.03
YEM,2021,63.71
ZAF,2021,34.19
ZMB,2021,66.41
ZWE,2021,56.15
AFG,2022,61.83
AGO,2022,76.34
ALB,2022,9.98
ARG,2022,9.36
ARM,2022,11.83
AZE,2022,20.99
BDI,2022,58.23
BEN,2022,90.95
BFA,2022,90.33
BGD,2022,31.58
BGR,2022,6.79
BIH,2022,6.07
BLR,2022,3.19
BLZ,2022,12.65
BOL,2022,27.06
BRA,2022,15.33
BTN,2022,29.42
BWA,2022,47.22
CAF,2022,109.67
CHN,2022,8.13
CIV,2022,82.61
CMR,2022,76.85
COD,2022,86.21
COG,2022,54.01
COL,2022,13.99
COM,2022,65.33
CPV,2022,15.33
CRI,2022,8.44
CUB,2022,5.35
DJI,2022,59.46
DMA,2022,36.01
DOM,2022,35.39
DZA,2022,23.97
ECU,2022,13.79
EGY,2022,20.68
ERI,2022,41.77
ETH,2022,52.26
FJI,2022,27.67
FSM,2022,26.13
GAB,2022,44.24
GEO,2022,9.77
GHA,2022,47.74
GIN,2022,100.82
GMB,2022,52.67
GNB,2022,81.89
GNQ,2022,83.54
GRD,2022,16.98
GTM,2022,25.21
GUY,2022,30.14
HND,2022,17.28
HTI,2022,63.99
IDN,2022,24.49
IND,2022,35.39
IRN,2022,13.79
IRQ,2022,26.85
JAM,2022,14.09
JOR,2022,15.95
KAZ,2022,10.39
KEN,2022,44.24
KGZ,2022,18.83
KHM,2022,27.37
KIR,2022,52.67
LAO,2022,47.02
LBN,2022,7.41
LBR,2022,82.72
LBY,2022,11.83
LCA,2022,24.69
LKA,2022,7.41
LSO,2022,93.52
MAR,2022,20.06
MDA,2022,15.23
MDG,2022,53.39
MDV,2022,7.2
MEX,2022,14.51
MHL,2022,32.51
MKD,2022,7
MLI,2022,96.91
MMR,2022,46.5
MNE,2022,2.67
MNG,2022,16.46
MOZ,2022,75
MRT,2022,75.1
MWI,2022,41.77
MYS,2022,8.85
NAM,2022,43.11
NER,2022,82.61
NGA,2022,120.27
NIC,2022,17.08
NPL,2022,30.14
PAK,2022,69.24
PER,2022,13.68
PHL,2022,27.88
PNG,2022,46.6
PRK,2022,17.8
PRY,2022,20.06
PSE,2022,17.49
RUS,2022,5.97
RWA,2022,43.11
SDN,2022,60.08
SEN,2022,40.84
SLB,2022,20.58
SLE,2022,115.12
SLV,2022,13.68
SOM,2022,121.71
SRB,2022,5.86
SSD,2022,100.72
STP,2022,17.49
SUR,2022,18.62
SWZ,2022,49.38
SYR,2022,22.84
TCD,2022,116.77
TGO,2022,68.42
THA,2022,9.26
TJK,2022,34.26
TKM,2022,43.62
TLS,2022,44.96
TON,2022,12.04
TUN,2022,17.39
TUR,2022,10.39
TUV,2022,23.35
TZA,2022,51.95
UGA,2022,46.6
UKR,2022,8.64
UZB,2022,15.23
VCT,2022,15.02
VEN,2022,24.9
VNM,2022,21.71
VUT,2022,26.34
WSM,2022,17.9
YEM,2022,63.27
ZAF,2022,33.95
ZMB,2022,65.95
ZWE,2022,55.76
AFG,2023,61.4
AGO,2023,75.8
ALB,2023,9.91
ARG,2023,9.3
ARM,2023,11.75
AZE,2023,20.84
BDI,2023,57.82
BEN,2023,90.31
BFA,2023,89.7
BGD,2023,31.36
BGR,2023,6.74
BIH,2023,6.03
BLR,2023,3.17
BLZ,2023,12.57
BOL,2023,26.87
BRA,2023,15.22
BTN,2023,29.22
BWA,2023,46.89
CAF,2023,108.9
CHN,2023,8.07
CIV,2023,82.03
CMR,2023,76.31
COD,2023,85.61
COG,2023,53.63
COL,2023,13.89
COM,2023,64.87
CPV,2023,15.22
CRI,2023,8.38
CUB,2023,5.31
DJI,2023,59.05
DMA,2023,35.76
DOM,2023,35.14
DZA,2023,23.8
ECU,2023,13.69
EGY,2023,20.53
ERI,2023,41.48
ETH,2023,51.9
FJI,2023,27.48
FSM,2023,25.95
GAB,2023,43.93
GEO,2023,9.71
GHA,2023,47.4
GIN,2023,100.12
GMB,2023,52.31
GNB,2023,81.32
GNQ,2023,82.95
GRD,2023,16.86
GTM,2023,25.03
GUY,2023,29.93
HND,2023,17.16
HTI,2023,63.54
IDN,2023,24.31
IND,2023,35.14
IRN,2023,13.69
IRQ,2023,26.66
JAM,2023,14
JOR,2023,15.83
KAZ,2023,10.32
KEN,2023,43.93
KGZ,2023,18.7
KHM,2023,27.17
KIR,2023,52.31
LAO,2023,46.69
LBN,2023,7.36
LBR,2023,82.14
LBY,2023,11.75
LCA,2023,24.52
LKA,2023,7.36
LSO,2023,92.86
MAR,2023,19.92
MDA,2023,15.12
MDG,2023,53.02
MDV,2023,7.15
MEX,2023,14.4
MHL,2023,32.28
MKD,2023,6.95
MLI,2023,96.23
MMR,2023,46.18
MNE,2023,2.66
MNG,2023,16.35
MOZ,2023,74.47
MRT,2023,74.58
MWI,2023,41.48
MYS,2023,8.79
NAM,2023,42.81
NER,2023,82.03
NGA,2023,119.43
NIC,2023,16.96
NPL,2023,29.93
PAK,2023,68.75
PER,2023,13.59
PHL,2023,27.69
PNG,2023,46.28
PRK,2023,17.67
PRY,2023,19.92
PSE,2023,17.37
RUS,2023,5.93
RWA,2023,42.81
SDN,2023,59.66
SEN,2023,40.56
SLB,2023,20.43
SLE,2023,114.32
SLV,2023,13.59
SOM,2023,120.86
SRB,2023,5.82
SSD,2023,100.01
STP,2023,17.37
SUR,2023,18.49
SWZ,2023,49.04
SYR,2023,22.68
TCD,2023,115.95
TGO,2023,67.94
THA,2023,9.19
TJK,2023,34.02
TKM,2023,43.32
TLS,2023,44.64
TON,2023,11.95
TUN,2023,17.27
TUR,2023,10.32
TUV,2023,23.19
TZA,2023,51.59
UGA,2023,46.28
UKR,2023,8.58
UZB,2023,15.12
VCT,2023,14.92
VEN,2023,24.72
VNM,2023,21.56
VUT,2023,26.15
WSM,2023,17.78
YEM,2023,62.83
ZAF,2023,33.71
ZMB,2023,65.48
ZWE,2023,55.37
AFG,2024,60.97
AGO,2024,75.27
ALB,2024,9.84
ARG,2024,9.23
ARM,2024,11.67
AZE,2024,20.69
BDI,2024,57.42
BEN,2024,89.67
BFA,2024,89.06
BGD,2024,31.14
BGR,2024,6.7
BIH,2024,5.98
BLR,2024,3.14
BLZ,2024,12.48
BOL,2024,26.68
BRA,2024,15.11
BTN,2024,29.01
BWA,2024,46.56
CAF,2024,108.14
CHN,2024,8.01
CIV,2024,81.46
CMR,2024,75.78
COD,2024,85.01
COG,2024,53.26
COL,2024,13.8
COM,2024,64.41
CPV,2024,15.11
CRI,2024,8.32
CUB,2024,5.27
DJI,2024,58.63
DMA,2024,35.5
DOM,2024,34.9
DZA,2024,23.64
ECU,2024,13.59
EGY,2024,20.39
