country,year,u5mr
COL,2022,15.22
COM,2022,71.07
CPV,2022,16.68
CRI,2022,9.18
CUB,2022,5.82
DJI,2022,64.69
DMA,2022,39.17
DOM,2022,38.5
DZA,2022,26.08
ECU,2022,15
EGY,2022,22.5
ERI,2022,45.44
ETH,2022,56.86
FJI,2022,30.11
FSM,2022,28.43
GAB,2022,48.13
GEO,2022,10.63
GHA,2022,51.93
GIN,2022,109.68
GMB,2022,57.3
GNB,2022,89.09
GNQ,2022,90.88
GRD,2022,18.47
GTM,2022,27.42
GUY,2022,32.79
HND,2022,18.8
HTI,2022,69.61
IDN,2022,26.64
IND,2022,38.5
IRN,2022,15
IRQ,2022,29.21
JAM,2022,15.33
JOR,2022,17.35
KAZ,2022,11.3
KEN,2022,48.13
KGZ,2022,20.48
KHM,2022,29.77
KIR,2022,57.3
LAO,2022,51.15
LBN,2022,8.06
LBR,2022,89.98
LBY,2022,12.87
LCA,2022,26.86
LKA,2022,8.06
LSO,2022,101.74
MAR,2022,21.82
MDA,2022,16.56
MDG,2022,58.09
MDV,2022,7.83
MEX,2022,15.78
MHL,2022,35.37
MKD,2022,7.61
MLI,2022,105.43
MMR,2022,50.59
MNE,2022,2.91
MNG,2022,17.91
MOZ,2022,81.59
MRT,2022,81.7
MWI,2022,45.44
MYS,2022,9.63
NAM,2022,46.89
NER,2022,89.87
NGA,2022,130.83
NIC,2022,18.58
NPL,2022,32.79
PAK,2022,75.32
PER,2022,14.89
PHL,2022,30.33
PNG,2022,50.7
PRK,2022,19.36
PRY,2022,21.82
PSE,2022,19.03
RUS,2022,6.49
RWA,2022,46.89
SDN,2022,65.36
SEN,2022,44.43
SLB,2022,22.38
SLE,2022,125.24
SLV,2022,14.89
SOM,2022,132.4
SRB,2022,6.38
SSD,2022,109.57
STP,2022,19.03
SUR,2022,20.26
SWZ,2022,53.72
SYR,2022,24.85
TCD,2022,127.03
TGO,2022,74.43
THA,2022,10.07
TJK,2022,37.27
TKM,2022,47.45
TLS,2022,48.91
TON,2022,13.09
TUN,2022,18.91
TUR,2022,11.3
TUV,2022,25.41
TZA,2022,56.52
UGA,2022,50.7
UKR,2022,9.4
UZB,2022,16.56
VCT,2022,16.34
VEN,2022,27.08
VNM,2022,23.62
VUT,2022,28.65
WSM,2022,19.47
YEM,2022,68.83
ZAF,2022,36.93
ZMB,2022,71.74
ZWE,2022,60.66
AFG,2023,65.47
AGO,2023,80.83
ALB,2023,10.57
ARG,2023,9.91
ARM,2023,12.53
AZE,2023,22.22
BDI,2023,61.66
BEN,2023,96.3
BFA,2023,95.65
BGD,2023,33.44
BGR,2023,7.19
BIH,2023,6.43
BLR,2023,3.38
BLZ,2023,13.4
BOL,2023,28.65
BRA,2023,16.23
BTN,2023,31.16
BWA,2023,50
CAF,2023,116.13
CHN,2023,8.61
CIV,2023,87.48
CMR,2023,81.38
COD,2023,91.29
COG,2023,57.19
COL,2023,14.82
COM,2023,69.18
CPV,2023,16.23
CRI,2023,8.93
CUB,2023,5.66
DJI,2023,62.97
DMA,2023,38.13
DOM,2023,37.48
DZA,2023,25.38
ECU,2023,14.6
EGY,2023,21.9
ERI,2023,44.23
ETH,2023,55.34
FJI,2023,29.3
FSM,2023,27.67
GAB,2023,46.84
GEO,2023,10.35
