country,year,vitA
COM,2022,0.19
CPV,2022,0.01
CRI,2022,0.04
CUB,2022,0.02
DJI,2022,0.05
DMA,2022,0.04
DOM,2022,0.06
DZA,2022,0.04
ECU,2022,0.08
EGY,2022,0.03
ERI,2022,0.18
ETH,2022,0.26
FJI,2022,0.08
FSM,2022,0.17
GAB,2022,0.11
GEO,2022,0.06
GHA,2022,0.21
GIN,2022,0.19
GMB,2022,0.21
GNB,2022,0.26
GNQ,2022,0.12
GRD,2022,0.05
GTM,2022,0.06
GUY,2022,0.06
HND,2022,0.05
HTI,2022,0.13
IDN,2022,0.15
IND,2022,0.19
IRN,2022,0.02
IRQ,2022,0.08
JAM,2022,0.03
JOR,2022,0.08
KAZ,2022,0.12
KEN,2022,0.23
KGZ,2022,0.07
KHM,2022,0.09
KIR,2022,0.19
LAO,2022,0.14
LBN,2022,0.04
LBR,2022,0.17
LBY,2022,0.04
LCA,2022,0.04
LKA,2022,0.09
LSO,2022,0.2
MAR,2022,0.11
MDA,2022,0.01
MDG,2022,0.18
MDV,2022,0.04
MEX,2022,0.12
MHL,2022,0.17
MKD,2022,0.12
MLI,2022,0.21
MMR,2022,0.09
MNE,2022,0.12
MNG,2022,0.11
MOZ,2022,0.2
MRT,2022,0.17
MWI,2022,0.19
MYS,2022,0.02
NAM,2022,0.07
NER,2022,0.22
NGA,2022,0.18
NIC,2022,0.03
NPL,2022,0.11
PAK,2022,0.13
PER,2022,0.07
PHL,2022,0.16
PNG,2022,0.06
PRK,2022,0.09
PRY,2022,0.14
PSE,2022,0.08
RUS,2022,0.01
RWA,2022,0.13
SDN,2022,0.09
SEN,2022,0.21
SLB,2022,0.11
SLE,2022,0.18
SLV,2022,0.09
SOM,2022,0.23
SRB,2022,0.14
SSD,2022,0.21
STP,2022,0.22
SUR,2022,0.05
SWZ,2022,0.13
SYR,2022,0.07
TCD,2022,0.23
TGO,2022,0.21
THA,2022,0.07
TJK,2022,0.12
TKM,2022,0.06
TLS,2022,0.11
TON,2022,0.1
TUN,2022,0.01
TUR,2022,0.07
TUV,2022,0.1
TZA,2022,0.14
UGA,2022,0.15
UKR,2022,0.01
UZB,2022,0.05
VCT,2022,0.05
VEN,2022,0.07
VNM,2022,0.07
VUT,2022,0.15
WSM,2022,0.11
YEM,2022,0.16
ZAF,2022,0.13
ZMB,2022,0.18
ZWE,2022,0.15
AFG,2023,0.14
AGO,2023,0.13
ALB,2023,0.15
ARG,2023,0.05
ARM,2023,0
AZE,2023,0.06
BDI,2023,0.16
BEN,2023,0.23
BFA,2023,0.22
BGD,2023,0.08
BGR,2023,0.13
BIH,2023,0.13
BLR,2023,0.01
BLZ,2023,0.04
BOL,2023,0.05
BRA,2023,0.13
BTN,2023,0.1
BWA,2023,0.13
CAF,2023,0.21
CHN,2023,0.05
CIV,2023,0.19
CMR,2023,0.21
COD,2023,0.21
COG,2023,0.22
COL,2023,0.04
COM,2023,0.19
CPV,2023,0.01
CRI,2023,0.04
CUB,2023,0.02
DJI,2023,0.05
DMA,2023,0.04
