country,year,vitA
MHL,2029,0.17
MKD,2029,0.12
MLI,2029,0.21
MMR,2029,0.09
MNE,2029,0.12
MNG,2029,0.11
MOZ,2029,0.2
MRT,2029,0.17
MWI,2029,0.19
MYS,2029,0.02
NAM,2029,0.07
NER,2029,0.22
NGA,2029,0.18
NIC,2029,0.03
NPL,2029,0.11
PAK,2029,0.13
PER,2029,0.07
PHL,2029,0.16
PNG,2029,0.06
PRK,2029,0.09
PRY,2029,0.14
PSE,2029,0.08
RUS,2029,0.01
RWA,2029,0.13
SDN,2029,0.09
SEN,2029,0.21
SLB,2029,0.11
SLE,2029,0.18
SLV,2029,0.09
SOM,2029,0.23
SRB,2029,0.14
SSD,2029,0.21
STP,2029,0.22
SUR,2029,0.05
SWZ,2029,0.13
SYR,2029,0.07
TCD,2029,0.23
TGO,2029,0.21
THA,2029,0.07
TJK,2029,0.12
TKM,2029,0.06
TLS,2029,0.11
TON,2029,0.1
TUN,2029,0.01
TUR,2029,0.07
TUV,2029,0.1
TZA,2029,0.14
UGA,2029,0.15
UKR,2029,0.01
UZB,2029,0.05
VCT,2029,0.05
VEN,2029,0.07
VNM,2029,0.07
VUT,2029,0.15
WSM,2029,0.11
YEM,2029,0.16
ZAF,2029,0.13
ZMB,2029,0.18
ZWE,2029,0.15
AFG,2030,0.14
AGO,2030,0.13
ALB,2030,0.15
ARG,2030,0.05
ARM,2030,0
AZE,2030,0.06
BDI,2030,0.16
BEN,2030,0.23
BFA,2030,0.22
BGD,2030,0.08
BGR,2030,0.13
BIH,2030,0.13
BLR,2030,0.01
BLZ,2030,0.04
BOL,2030,0.05
BRA,2030,0.13
BTN,2030,0.1
BWA,2030,0.13
CAF,2030,0.21
CHN,2030,0.05
CIV,2030,0.19
CMR,2030,0.21
COD,2030,0.21
COG,2030,0.22
COL,2030,0.04
COM,2030,0.19
CPV,2030,0.01
CRI,2030,0.04
CUB,2030,0.02
DJI,2030,0.05
DMA,2030,0.04
DOM,2030,0.06
DZA,2030,0.04
ECU,2030,0.08
EGY,2030,0.03
ERI,2030,0.18
ETH,2030,0.26
FJI,2030,0.08
FSM,2030,0.17
GAB,2030,0.11
GEO,2030,0.06
GHA,2030,0.21
GIN,2030,0.19
GMB,2030,0.21
GNB,2030,0.26
GNQ,2030,0.12
GRD,2030,0.05
GTM,2030,0.06
GUY,2030,0.06
HND,2030,0.05
HTI,2030,0.13
IDN,2030,0.15
IND,2030,0.19
IRN,2030,0.02
IRQ,2030,0.08
JAM,2030,0.03
JOR,2030,0.08
KAZ,2030,0.12
KEN,2030,0.23
KGZ,2030,0.07
KHM,2030,0.09
KIR,2030,0.19
LAO,2030,0.14
LBN,2030,0.04
LBR,2030,0.17
LBY,2030,0.04
LCA,2030,0.04
LKA,2030,0.09
LSO,2030,0.2
MAR,2030,0.11
MDA,2030,0.01
MDG,2030,0.18
MDV,2030,0.04
MEX,2030,0.12
MHL,2030,0.17
MKD,2030,0.12
MLI,2030,0.21
MMR,2030,0.09
MNE,2030,0.12
MNG,2030,0.11
MOZ,2030,0.2
MRT,2030,0.17
MWI,2030,0.19
MYS,2030,0.02
NAM,2030,0.07
NER,2030,0.22
NGA,2030,0.18
NIC,2030,0.03
NPL,2030,0.11
PAK,2030,0.13
PER,2030,0.07
PHL,2030,0.16
PNG,2030,0.06
PRK,2030,0.09
PRY,2030,0.14
PSE,2030,0.08
RUS,2030,0.01
RWA,2030,0.13
SDN,2030,0.09
SEN,2030,0.21
SLB,2030,0.11
SLE,2030,0.18
SLV,2030,0.09
SOM,2030,0.23
SRB,2030,0.14
SSD,2030,0.21
STP,2030,0.22
SUR,2030,0.05
SWZ,2030,0.13
SYR,2030,0.07
TCD,2030,0.23
TGO,2030,0.21
THA,2030,0.07
TJK,2030,0.12
TKM,2030,0.06
TLS,2030,0.11
TON,2030,0.1
TUN,2030,0.01
TUR,2030,0.07
TUV,2030,0.1
TZA,2030,0.14
UGA,2030,0.15
UKR,2030,0.01
UZB,2030,0.05
VCT,2030,0.05
VEN,2030,0.07
VNM,2030,0.07
VUT,2030,0.15
WSM,2030,0.11
YEM,2030,0.16
ZAF,2030,0.13
ZMB,2030,0.18
ZWE,2030,0.15
